time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/episode_reward_ma100,time/total_timesteps,time/time_elapsed,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward
29,123.67,-261.75699999999995,560,-261.75699999999995,59392,105,0.06700511669623666,0.5520380735397339,-0.9237871985882521,0.014520238,0.0003,280,0.190625,-0.014450736560684163,0.2,0.003984259441494942,,
30,115.08,-232.96450000000002,562,-232.96450000000002,61440,109,0.07464158636284993,0.5456454753875732,-0.9743127543479204,0.015074567,0.0003,290,0.181689453125,-0.017517906006833072,0.2,0.0013635512441396713,,
31,108.53,-211.20849999999996,562,-211.20849999999996,63488,112,0.1424206811352633,0.40191566944122314,-0.9435465347021819,0.017504973,0.0003,300,0.160009765625,-0.018474227815750054,0.2,0.017747052013874054,,
,,,,-162.56699999999998,65536,,0.12160168478731066,0.3283708095550537,-0.8777385773137212,0.01970462,0.0003,310,0.19697265625,-0.020535879845556337,0.2,0.07813963294029236,161.4,-626.37
32,93.61,-162.56699999999998,558,,65536,117,,,,,,,,,,,,
33,85.86,-141.23850000000002,559,-141.23850000000002,67584,120,0.05793115173291881,0.574584424495697,-0.8519192807376385,0.013198996,0.0003,320,0.159619140625,-0.018650026418617925,0.2,-0.04318283870816231,,
34,92.27,-165.59550000000002,559,-165.59550000000002,69632,124,0.08940001916489564,0.3353068232536316,-0.938818022608757,0.015706405,0.0003,330,0.161767578125,-0.015163541852962226,0.2,-0.04329124838113785,,
35,89.76,-162.13549999999998,560,-162.13549999999998,71680,127,0.07423227904946543,0.5291069149971008,-0.8425748810172081,0.012388966,0.0003,340,0.13251953125,-0.012981153437431203,0.2,-0.0009012427181005478,,
,,,,-179.6875,73728,,0.09200115014100448,0.49152570962905884,-0.8299020944163203,0.014430747,0.0003,350,0.147412109375,-0.014806705694354605,0.2,-0.0036108791828155518,123.2,-447.93
36,94.69,-175.426,559,-175.426,73728,131,,,,,,,,,,,,
37,102.19,-200.1385,560,-200.1385,75776,135,0.08646517080487684,0.2545773386955261,-0.9463738450780511,0.016276494,0.0003,360,0.15712890625,-0.012898552905971883,0.2,-6.068870425224304e-05,,
38,110.05,-224.74400000000006,561,-224.74400000000006,77824,138,0.043706456234212966,0.5548272132873535,-0.9060403823852539,0.01575102,0.0003,370,0.183935546875,-0.01623308352427557,0.2,-0.03462459146976471,,
39,104.91,-202.61599999999999,562,-202.61599999999999,79872,141,0.08052627798169851,0.5321272611618042,-0.8739329621195793,0.013047738,0.0003,380,0.175390625,-0.014930514236039017,0.2,-0.02450096234679222,,
