#{"t_start": 1778011801.622571, "env_id": "None"}
r,l,t
-123.8,85,64.859132
-126.0,87,64.933988
-50.35,75,65.022809
77.5,23,65.041731
-520.8,200,65.284495
-496.85,200,65.479206
-545.05,200,65.708805
-287.6,171,65.936193
-544.15,200,66.208032
45.45,25,66.231036
33.55,37,66.263086
-682.15,200,66.54154
39.6,29,66.592119
-343.95,185,66.822592
27.55,36,66.853848
-507.3,200,68.207068
-542.6,200,68.401526
-262.45,170,68.628138
-563.7,200,68.78924
5.9,57,68.839082
-271.05,152,68.972027
-689.05,200,69.15154
-509.3,200,69.381363
-358.15,190,69.577666
76.3,19,69.605231
-474.0,200,69.788331
-452.3,200,69.967581
-8.65,41,70.004112
78.1,18,70.019109
-492.65,200,71.513827
-311.25,173,71.659266
-177.6,120,71.794485
-483.7,200,71.98602
22.2,46,72.023695
-589.55,200,72.204474
-218.1,125,72.317255
-501.9,200,72.570161
32.55,36,72.6255
-537.2,200,72.858334
-276.2,149,73.013488
-541.5,200,73.216017
-607.75,200,73.407855
63.35,29,73.431942
101.0,2,73.433943
-541.6,200,75.49759
11.75,38,75.535403
-536.75,200,75.74711
-510.7,200,75.976131
-60.0,69,76.06595
-33.35,60,76.154153
15.1,46,76.221618
68.65,21,76.248966
45.45,21,76.276332
-520.05,200,76.482729
-692.45,200,76.725469
89.9,13,76.737401
-480.95,200,76.931326
78.6,12,76.941345
-519.7,200,77.147011
-573.95,200,77.353472
-468.75,200,77.525762
-235.4,151,78.935653
94.85,3,78.938647
26.05,29,78.964631
-202.45,127,79.099366
-602.5,200,79.33654
-537.35,200,79.511327
41.25,30,79.551397
-515.0,200,79.752041
-536.55,200,80.026809
-548.2,200,80.265531
95.55,14,80.279567
-19.7,58,80.340177
-504.05,200,80.585715
-231.15,125,80.727883
-527.9,200,81.023238
-142.3,94,81.120728
84.1,15,81.133731
-64.3,72,81.191739
-524.45,200,82.756065
-18.05,57,82.811528
4.9,43,82.861526
-562.85,200,83.057317
-637.75,200,83.2984
-496.15,200,83.516713
-17.25,52,83.559712
-50.4,71,83.628276
-461.6,200,83.887076
87.05,11,83.901171
59.85,16,83.927835
4.45,49,84.004923
-488.85,200,84.247145
-497.65,200,84.449035
-52.35,67,84.514796
-521.05,200,84.691587
26.85,30,84.725148
-516.15,200,86.260838
103.0,4,86.264838
-294.2,149,86.404418
96.85,13,86.416994
15.45,42,86.461076
-23.85,59,86.522717
-487.25,200,86.68924
90.4,16,86.703185
-120.05,99,86.826603
-580.6,200,87.037024
-551.55,200,87.226462
-476.95,200,87.435393
-494.05,200,87.657085
-89.85,88,87.731745
-524.05,200,87.900071
45.4,32,87.926879
-540.3,200,88.162217
-510.35,200,90.279353
8.95,42,90.319781
-523.45,200,90.513264
28.25,41,90.557781
-138.2,103,90.653322
-521.8,200,90.831714
34.8,28,90.860771
-100.8,78,90.938236
-545.55,200,91.149645
50.2,17,91.17063
-8.75,49,91.224201
-319.35,170,91.402004
-502.25,200,91.583081
-543.0,200,91.759519
90.85,7,91.765524
-513.2,200,91.962139
-470.05,200,93.562316
85.05,13,93.573316
-491.55,200,93.78174
-45.3,51,93.86792
-157.45,106,93.973829
-506.5,200,94.209542
1.55,49,94.251342
-689.9,200,94.455144
98.85,7,94.468149
-232.3,136,94.641597
-493.15,200,94.864883
-568.0,200,95.124481
61.75,30,95.150187
72.65,21,95.168187
-490.05,200,95.4425
88.05,8,95.457501
-464.7,200,95.690362
56.2,25,95.726468
-30.45,52,95.808086
-606.8,200,97.259724
-477.45,200,97.512886
-153.0,105,97.654253
-533.15,200,97.907561
-535.75,200,98.106184
-557.1,200,98.367743
100.0,1,98.368733
-510.5,200,98.577285
-592.45,200,98.859877
-506.2,200,99.113282
-466.6,200,99.373112
-522.25,200,99.612748
-561.1,200,101.005789
-492.85,200,101.173275
84.25,13,101.184345
-566.3,200,101.463751
-544.55,200,101.656176
47.45,30,101.682171
-142.4,112,101.772942
-4.5,42,101.828102
-509.0,200,102.108922
-115.35,88,102.205497
-565.05,200,102.424985
-19.2,55,102.498534
-261.0,153,102.695016
-301.75,149,102.899533
-533.05,200,103.122108
55.4,27,103.143873
-501.55,200,105.436453
-515.55,200,105.650302
16.45,38,105.680296
-523.75,200,105.904577
-477.45,200,106.146142
-498.65,200,106.334635
-515.85,200,106.585164
-86.85,72,106.656884
43.3,35,106.689946
-556.15,200,106.868125
-168.4,115,106.981781
101.0,2,106.984781
-10.45,58,107.033808
-495.5,200,107.258913
101.0,2,107.263173
86.4,20,107.287167
81.95,23,107.306638
101.0,2,107.308654
-34.0,46,107.373612
4.3,44,107.416605
-195.9,127,108.74182
100.0,1,108.743261
-475.65,200,108.931922
40.8,37,108.962618
-169.45,112,109.05818
87.55,6,109.066192
-546.0,200,109.25466
-604.8,200,109.471666
0.25,49,109.514662
-106.25,88,109.587185
-318.9,167,109.722718
-501.8,200,109.911803
-1.9,43,109.967702
-59.2,70,110.067954
101.0,2,110.072944
-221.45,140,110.269269
93.7,9,110.285274
-64.25,76,110.383201
94.85,3,110.390204
-461.2,200,110.592753
11.95,40,110.631679
101.0,2,110.635695
-29.45,57,110.688224
-554.45,200,111.994375
-534.1,200,112.242558
-180.8,114,112.411839
-313.95,137,112.546489
-562.0,200,112.811957
101.0,2,112.813959
-564.75,200,113.078651
34.5,36,113.128656
96.7,8,113.134664
-27.05,55,113.214493
101.0,2,113.21849
-325.8,163,113.411878
93.55,20,113.446801
-507.85,200,113.641234
94.85,3,113.645231
-98.25,87,113.731757
-534.9,200,114.005983
13.6,46,114.062428
18.65,36,114.091432
14.9,41,114.135428
-115.05,105,114.220404
100.0,1,114.222396
-592.95,200,115.687789
87.55,6,115.699673
101.0,2,115.704683
-541.95,200,115.927291
-489.6,200,116.213259
-542.85,200,116.461047
87.55,10,116.469043
-544.05,200,116.688466
-550.35,200,116.945819
79.6,13,116.968633
24.9,49,117.049555
60.5,20,117.066075
54.05,22,117.091174
22.95,47,117.1649
-554.25,200,117.417469
48.45,30,117.443546
101.0,2,117.446653
70.15,24,117.468068
-102.85,84,117.551243
-460.65,200,117.759005
80.95,23,117.783016
101.0,2,117.78602
106.0,7,117.798018
69.65,22,117.824108
-734.9,200,119.950357
-3.35,55,120.044206
39.1,19,120.077027
46.25,22,120.098026
-69.6,74,120.15719
-515.3,200,120.379327
-495.05,200,120.660132
-81.0,68,120.751679
33.7,39,120.817505
-158.95,124,120.9783
-109.75,90,121.103175
88.55,7,121.127441
-558.6,200,121.329839
100.0,1,121.331834
101.0,2,121.333835
-49.35,65,121.421372
-561.3,200,121.62293
20.3,44,121.659011
-494.8,200,121.937372
97.55,16,121.953286
-526.15,200,122.238349
-580.85,200,123.686089
-516.85,200,123.865665
-2.65,53,123.918288
35.95,23,123.937287
80.45,12,123.947318
26.55,38,123.977759
-517.35,200,124.154499
-607.7,200,124.439827
-6.0,45,124.476606
-550.35,200,124.709926
29.0,31,124.761319
-263.5,151,124.937722
95.85,8,124.951723
-659.7,200,125.132495
-254.55,151,125.298295
48.55,19,125.3133
-550.05,200,125.552876
-200.15,98,125.676475
-38.25,56,125.772582
-718.6,200,127.328439
-675.25,200,127.514768
-186.3,98,127.628151
-108.35,96,127.743415
-32.6,54,127.789227
37.0,28,127.819223
-496.4,200,128.032374
100.0,1,128.03538
-535.55,200,128.265031
-550.15,200,128.505497
-75.95,69,128.605343
69.15,16,128.619342
-530.95,200,128.794969
58.7,22,128.827962
63.5,25,128.84894
93.7,5,128.852941
-292.9,153,128.991225
80.25,13,129.003225
-30.15,65,129.077767
0.1,55,129.151316
94.85,3,129.155306
-21.0,63,129.214937
36.1,27,129.259933
100.0,5,129.269047
-494.8,200,130.64361
-50.95,53,130.694225
-525.05,200,130.935581
-502.5,200,131.129111
-79.4,87,131.232672
-493.0,200,131.498338
-555.4,200,131.751762
-465.1,200,131.95326
-7.1,54,131.997972
99.7,11,132.017913
-687.75,200,132.22752
15.05,40,132.288147
-212.0,139,132.459109
-351.35,179,132.624456
-13.05,56,132.681883
85.9,13,132.693893
-99.65,80,132.762902
-116.7,93,132.878129
-5.7,38,134.501396
-27.7,57,134.551396
97.85,6,134.558412
40.7,33,134.590982
-487.95,200,134.823081
58.4,26,134.84508
-553.65,200,135.027816
-599.0,200,135.215158
87.25,16,135.228148
-567.9,200,135.497661
-484.2,200,135.710819
-501.1,200,135.943336
-44.45,64,136.035076
-481.1,200,136.214539
79.75,14,136.230544
100.7,12,136.246545
56.15,39,136.281719
-544.7,200,136.492285
-604.7,200,137.97953
-352.5,188,138.170689
-551.8,200,138.357279
-293.25,148,138.519634
-691.1,200,138.781229
38.8,43,138.823666
-95.0,81,138.898199
95.85,4,138.902269
-83.2,88,138.98721
-610.75,200,139.236128
-510.15,200,139.42129
-512.55,200,139.586816
-76.15,74,139.649332
-209.7,121,139.774169
-458.15,200,139.966339
86.55,5,139.971339
-31.3,67,141.229518
-560.05,200,141.494504
96.85,5,141.504503
-628.95,200,141.725269
105.0,14,141.737164
-85.15,87,141.818889
104.0,5,141.823887
-460.15,200,142.031333
-384.65,192,142.238322
-504.9,200,142.427762
86.4,19,142.451753
-28.0,66,142.562468
82.25,15,142.577466
-511.5,200,142.769615
37.85,44,142.806136
15.55,33,142.836401
-477.25,200,143.052567
37.0,36,143.086574
48.4,25,143.11109
56.2,28,143.140091
-311.3,135,143.265833
-131.1,106,143.353345
-497.0,200,144.899551
68.85,28,144.934814
93.2,6,144.94891
70.95,18,144.984021
-538.15,200,145.165268
-47.75,67,145.265859
-91.3,74,145.345376
-43.9,67,145.427205
-313.65,188,145.695721
-538.15,200,145.953942
-553.2,200,146.2212
-17.6,58,146.312934
-507.3,200,146.550435
89.4,11,146.569432
11.6,39,146.630974
-485.5,200,146.840341
-494.65,200,147.148899
98.85,7,147.160897
-544.2,200,149.257589
-492.8,200,149.512582
-131.55,93,149.611408
30.1,39,149.678516
-2.95,52,149.733031
-120.55,94,149.832697
-454.4,200,150.058438
12.7,47,150.11024
89.55,8,150.118148
-570.15,200,150.339478
81.75,16,150.354707
-257.55,157,150.572233
69.85,26,150.593346
-177.2,108,150.722586
-259.6,149,150.950755
-504.7,200,151.135097
81.75,16,151.163089
-238.45,138,151.370628
-104.75,89,151.493954
-550.35,200,152.836929
50.6,26,152.86001
-420.2,180,153.058395
-150.05,85,153.138081
-122.55,87,153.264966
-351.65,193,153.497391
89.7,5,153.507402
10.0,44,153.581169
64.5,19,153.612654
0.8,37,153.642735
-552.65,200,153.877932
-9.4,42,153.932387
47.75,23,153.951391
-15.1,55,154.001402
88.25,16,154.014931
-426.75,179,154.224739
-544.65,200,154.409092
-480.6,200,154.569587
-529.15,200,154.75388
100.0,1,154.755883
-93.35,90,154.862331
-589.2,200,156.339669
58.7,21,156.358671
-499.25,200,156.553926
-450.0,200,156.765428
54.0,28,156.789423
-545.35,200,156.985061
-528.3,200,157.264117
-340.95,159,157.500209
73.0,19,157.524737
-39.0,62,157.577838
87.55,6,157.583834
-409.95,200,157.816903
23.05,27,157.854005
105.0,6,157.864018
-548.65,200,158.151293
-515.0,200,158.367029
-518.05,200,159.698077
85.4,11,159.710082
-504.5,200,159.893331
-61.7,70,159.984122
77.75,12,160.006138
0.85,46,160.048652
87.4,13,160.059651
-480.5,200,160.249721
-43.8,66,160.337241
74.1,14,160.360238
-566.95,200,160.624344
-473.2,200,160.834733
-532.45,200,161.027067
0.95,52,161.095979
-510.1,200,161.356874
-66.95,69,161.433488
20.6,44,161.477487
-153.3,104,161.602987
-20.75,47,161.654542
62.85,22,161.673542
-225.75,119,161.794419
92.9,16,161.822481
-484.5,200,164.173887
-370.15,197,164.365044
79.6,21,164.395036
53.9,30,164.421135
-563.9,200,164.710609
-223.8,122,164.832922
73.65,26,164.854918
94.85,3,164.857922
101.0,2,164.85992
-467.35,184,165.06515
100.0,1,165.066149
100.0,1,165.067151
-522.3,200,165.339472
-625.8,200,165.582022
58.35,22,165.608118
-96.2,81,165.680927
66.3,22,165.698916
-382.15,177,165.972214
-513.05,200,166.247534
-87.25,79,166.312547
-549.7,200,166.492623
-504.4,200,167.836465
-629.8,200,168.048577
-507.35,200,168.295027
100.0,1,168.296026
52.4,25,168.319209
-731.5,200,168.534341
25.05,40,168.592569
-536.2,200,168.850914
-294.7,134,169.049539
-518.95,200,169.28222
87.4,13,169.294219
68.35,18,169.30922
-34.05,68,169.382938
100.0,5,169.387938
-552.4,200,169.550528
-714.05,200,169.731054
11.65,41,169.780581
35.45,31,169.814656
-501.45,200,171.30705
101.0,2,171.310067
-485.2,200,171.56954
-385.1,188,171.737607
105.0,6,171.743606
66.95,22,171.764822
83.45,22,171.786181
-68.15,65,171.848721
-275.3,144,171.974257
-11.75,55,172.018276
-192.6,120,172.147784
